Category: All categories

Region,Joe Biden: (11/15/18 - 11/15/19),elizabeth warren: (11/15/18 - 11/15/19),Bernie Sanders: (11/15/18 - 11/15/19),Pete Buttigieg: (11/15/18 - 11/15/19),kamala harris: (11/15/18 - 11/15/19)
Vermont,19%,11%,48%,13%,9%
District of Columbia,26%,15%,21%,19%,19%
Delaware,52%,9%,16%,10%,13%
New Hampshire,26%,16%,27%,19%,12%
Massachusetts,27%,19%,24%,17%,13%
Maryland,31%,12%,23%,14%,20%
Pennsylvania,34%,12%,26%,14%,14%
Oregon,26%,14%,29%,17%,14%
Iowa,26%,14%,27%,20%,13%
New Jersey,33%,12%,25%,13%,17%
Maine,27%,14%,29%,18%,12%
Virginia,32%,12%,23%,16%,17%
New York,29%,13%,27%,16%,15%
Connecticut,30%,13%,26%,16%,15%
Indiana,24%,10%,22%,33%,11%
Rhode Island,28%,16%,26%,17%,13%
Washington,27%,14%,27%,18%,14%
Minnesota,30%,14%,27%,16%,13%
Illinois,28%,13%,27%,17%,15%
Colorado,27%,14%,29%,16%,14%
Michigan,30%,13%,29%,14%,14%
California,26%,12%,26%,15%,21%
Nebraska,32%,14%,25%,16%,13%
Missouri,31%,13%,27%,14%,15%
Arizona,31%,13%,26%,14%,16%
Florida,32%,12%,26%,13%,17%
Ohio,32%,13%,26%,15%,14%
Montana,31%,14%,27%,15%,13%
Nevada,30%,13%,29%,12%,16%
North Carolina,30%,13%,25%,14%,18%
South Carolina,31%,12%,25%,14%,18%
Kentucky,32%,12%,29%,14%,13%
Wisconsin,29%,14%,29%,15%,13%
West Virginia,33%,11%,30%,13%,13%
Tennessee,32%,13%,25%,14%,16%
North Dakota,34%,13%,29%,11%,13%
Idaho,32%,14%,27%,13%,14%
Alaska,31%,14%,27%,15%,13%
Kansas,30%,13%,27%,15%,15%
New Mexico,28%,13%,28%,15%,16%
Georgia,31%,12%,24%,13%,20%
Alabama,33%,12%,25%,12%,18%
Oklahoma,31%,15%,27%,13%,14%
Arkansas,32%,12%,28%,13%,15%
Texas,31%,13%,26%,13%,17%
South Dakota,31%,13%,29%,14%,13%
Wyoming,31%,10%,30%,15%,14%
Hawaii,27%,11%,27%,18%,17%
Utah,31%,14%,29%,13%,13%
Louisiana,31%,12%,26%,12%,19%
Mississippi,33%,13%,24%,11%,19%
